Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,lag1,lag2,lag3,lag7,lag10,SMA_10,SMA_50,returns,EMA_10,EMA_50,RSI,Volatility_10,High_Low_Range,Pct_Change
62,61.625,62.18000030517578,59.782501220703125,60.227500915527344,58.73986053466797,176218400,63.5724983215332,63.70249938964844,61.935001373291016,56.09249877929688,61.66749954223633,61.1745002746582,72.34209991455079,-0.0526170513086922,62.35368305228357,66.21808593811348,37.07449729863207,2.718666328755299,2.3974990844726562,-0.05261705130869221
63,60.084999084472656,61.28749847412109,59.22499847412109,61.23249816894531,59.72003555297852,165934000,60.227500915527344,63.5724983215332,63.70249938964844,61.720001220703125,61.19499969482422,61.17825012207031,71.97824981689453,0.0166866836269288,62.149831255312975,66.02257269226374,38.79087586789683,2.7187236053365758,2.0625,0.016686683626928822
64,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,58.86176681518555,129880000,61.23249816894531,60.227500915527344,63.5724983215332,61.380001068115234,57.310001373291016,61.482500076293945,71.58914978027343,-0.014371408643005,61.82304392080649,65.80021693631329,49.65259541947302,2.387838525229964,1.6824989318847656,-0.014371408643005013
65,62.72499847412109,65.77749633789062,62.345001220703125,65.61750030517578,63.99673461914063,201820400,60.352500915527344,61.23249816894531,60.227500915527344,64.61000061035156,56.09249877929688,62.43500022888183,71.30994979858399,0.0872374683696639,62.512945081600904,65.79305157822947,53.82716157414345,1.8345300005897658,3.4324951171875,0.08723746836966395
66,67.69999694824219,67.92500305175781,64.75,64.85749816894531,63.2554817199707,202887200,65.61750030517578,60.352500915527344,61.23249816894531,61.935001373291016,61.720001220703125,62.74874992370606,71.06234970092774,-0.0115823085715827,62.939227461118065,65.75636320923793,55.21241696643004,1.9624923746622513,3.1750030517578125,-0.011582308571582711
67,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,64.87450408935547,168895200,64.85749816894531,65.61750030517578,60.352500915527344,63.70249938964844,61.380001068115234,63.2625,70.80424972534179,0.0255946299036278,63.58982280110654,65.78621178264251,58.372005334996146,2.2199352589661467,1.5349960327148438,0.02559462990362782
68,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,65.3426284790039,161834800,66.51750183105469,64.85749816894531,65.61750030517578,63.5724983215332,64.61000061035156,63.50124969482422,70.52249969482422,0.0072160816976889,64.20940002974058,65.833713185621,67.06596950849166,2.492598993599223,1.342498779296875,0.0072160816976889475
69,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.62516784667969,131022800,66.99749755859375,66.51750183105469,64.85749816894531,60.227500915527344,61.935001373291016,64.13899955749511,70.26939971923828,0.0196276352001982,64.95541820615138,65.93092051167507,71.45365704687738,2.8391155607768614,1.9675064086914062,0.01962763520019828
70,70.0,72.0625,69.51249694824219,71.76249694824219,69.98992919921875,194994800,68.3125,66.99749755859375,66.51750183105469,61.23249816894531,63.70249938964844,64.94499931335449,70.157099609375,0.0505031575223009,66.19306888653152,66.1596097836973,69.09038961340326,3.7114839576756204,2.5500030517578125,0.050503157522300945
71,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,69.35112762451172,131154400,71.76249694824219,68.3125,66.99749755859375,60.352500915527344,63.5724983215332,65.6984992980957,70.03594955444336,-0.0091273131113217,67.08660148333402,66.35364462233449,68.27275508895231,4.141806227230245,1.4249954223632812,-0.009127313111321755
72,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,69.90216827392578,157125200,71.10749816894531,71.76249694824219,68.3125,65.61750030517578,60.227500915527344,66.84299926757812,69.87514953613281,0.0079457505320164,67.92040132460994,66.56222721009986,64.74272503815097,4.042126722828326,1.4625015258789062,0.007945750532016405
73,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,68.95369720458984,215250000,71.67250061035156,71.10749816894531,71.76249694824219,64.85749816894531,61.23249816894531,67.78974914550781,69.6818994140625,-0.0135687139952936,68.42578234708853,66.724492690027,69.6966226464814,3.673999504141909,2.5225067138671875,-0.01356871399529369
74,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,67.5224380493164,130015200,70.69999694824219,71.67250061035156,71.10749816894531,66.51750183105469,60.352500915527344,68.67774887084961,69.44049942016602,-0.020756702159,68.57245795106249,66.82284584606302,62.59680990465862,2.589892309990387,1.2074966430664062,-0.02075670215900005
75,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,65.43528747558594,180991600,69.23249816894531,70.69999694824219,71.67250061035156,66.99749755859375,65.61750030517578,68.82524871826172,69.18219940185547,-0.0309103303541969,68.30337446528692,66.83342047089573,57.345578365376426,2.4335208629865983,2.9550018310546875,-0.03091033035419699
76,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,67.320068359375,116862400,67.09249877929688,69.23249816894531,70.69999694824219,68.3125,64.85749816894531,69.24199905395508,68.95494949340821,0.028803558993071,68.43457938539456,66.91936482599311,69.5088155498544,1.9960589630253458,1.4249954223632812,0.028803558993071077
