,Open,High,Low,Close,Adj Close,Volume,lag1,lag2,lag3,lag7,lag10,SMA_10,SMA_50,returns
49,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,67.77601623535156,370732000,62.057498931884766,68.85749816894531,71.33499908447266,75.68499755859375,68.33999633789062,70.64900016784668,76.45169975280761,0.11980826654731591
50,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.05683517456055,322423600,69.49250030517578,62.057498931884766,68.85749816894531,73.2300033569336,74.70249938964844,69.23400039672852,76.16099975585938,-0.12864695596573805
51,61.87749862670898,64.40249633789062,59.59999847412109,63.21500015258789,61.65357208251953,324056000,60.5525016784668,69.49250030517578,62.057498931884766,72.25749969482422,72.33000183105469,68.32250022888184,75.93814979553223,0.04397008216537346
52,59.942501068115234,62.5,59.27999877929688,61.66749954223633,60.144290924072266,300233600,63.21500015258789,60.5525016784668,69.49250030517578,66.5425033569336,75.68499755859375,66.92075042724609,75.67249984741211,-0.024479958975183402
53,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,59.68346786499024,271857200,61.66749954223633,63.21500015258789,60.5525016784668,71.33499908447266,73.2300033569336,65.71725006103516,75.4044497680664,-0.007662056203340817
54,61.79499816894531,62.95750045776367,57.0,57.310001373291016,55.89442825317383,401693200,61.19499969482422,61.66749954223633,63.21500015258789,68.85749816894531,72.25749969482422,64.22250022888184,75.0346997833252,-0.06348555177559367
55,57.02000045776367,57.125,53.15250015258789,56.09249877929688,54.70698928833008,336752800,57.310001373291016,61.19499969482422,61.66749954223633,62.057498931884766,66.5425033569336,63.177499771118164,74.60839973449707,-0.02124415572883831
56,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,60.19550323486328,287531200,56.09249877929688,57.310001373291016,61.19499969482422,69.49250030517578,71.33499908447266,62.21599998474121,74.2911498260498,0.100325401147636
57,62.6875,64.5625,61.07500076293945,61.380001068115234,59.863895416259766,303602000,61.720001220703125,56.09249877929688,57.310001373291016,60.5525016784668,68.85749816894531,61.4682502746582,73.93394989013672,-0.0055087515531973
58,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,63.01411437988281,252087200,61.380001068115234,61.720001220703125,56.09249877929688,63.21500015258789,62.057498931884766,61.723500442504886,73.66274993896485,0.052622995862315225
