Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,lag1,lag2,lag3,lag7,lag10,SMA_10,SMA_50,returns,EMA_10,EMA_50,RSI,Volatility_10,High_Low_Range,Pct_Change,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower
0.0,0.0007446295776656342,0.0,0.0,0.0,0.0,0.39335148027982647,0.0,0.0,0.005703473648194013,0.024259767652960673,0.03178430696081097,0.0,0.024437930109830863,0.4724069420891793,0.0,0.0,0.7094752375590478,0.24392528895614685,0.0491292619603119,0.4724069420891798,0.43967067016885614,0.3573999142611437,0.0004478005287492093,0.00228748038202764,0.00789203885308426
0.0010152284263959394,0.0,0.006869675190289359,0.002159324272106522,0.010029573158916394,0.00967845401284928,0.3053897002042602,0.003647591861175137,0.012457579645375194,0.0,0.0,0.012383735873246315,0.0048147780537659,0.02238718925188432,0.5395873892651071,0.005681644569472899,0.0007896035739767271,0.7581736245222391,0.28852032577122316,0.10095411734340112,0.5395873892651077,0.4659178721091006,0.37641325554003097,0.0,0.0,0.009306710420274311
0.0020304568527918787,0.022318960622962458,0.0344050899864613,0.025511132997043218,0.03634282985023485,0.035070023921363824,0.4880163065587365,0.013640581230666027,0.01605973134042593,0.012457579645375194,0.007288794848094082,0.025202607160533907,0.01089978122350399,0.021477278363448482,0.7067084024380225,0.015107542609809899,0.0026472193921347476,0.731944019299445,0.400789996144778,0.14925401460592821,0.7067084024380228,0.5059350650244857,0.40055498553185964,0.0042541021278238444,0.012774585803472016,0.00483732349001581
0.003045685279187818,0.026901112725964182,0.030771522254367856,0.030441416104300734,0.031347129485653324,0.03024942205918335,0.30576539052809326,0.03985785790103624,0.02592823224895091,0.01605973134042593,0.0009065690009730232,0.024259767652960673,0.016588430335635784,0.020495660854337294,0.3839444807687579,0.02191265110018853,0.004223341360335753,0.7228691975128356,0.4561704289172693,0.055969781012293,0.3839444807687579,0.5331994896837139,0.4259532573475589,0.007249241001410944,0.0218266918502239,0.001632479800822928
0.004060913705583757,0.03640912349524228,0.034310489589971294,0.03372825206995267,0.03565642439083261,0.03440775179079181,0.3799065627332898,0.034880379812445406,0.05181890510711529,0.02592823224895091,0.039091250895350316,0.0,0.025228986230891814,0.019192779782363334,0.4763564459583403,0.028262837315496114,0.005917632968328701,0.6836898421230796,0.44334215001355576,0.05907974047400937,0.4763564459583406,0.5570226211908778,0.4515887331093368,0.011046057619835903,0.030875173136224787,0.0
0.005076142131979697,0.03127327695745519,0.03194490214172285,0.02323709808558616,0.028239102324107423,0.027250284458056995,0.5458406427844477,0.0391739561686012,0.046903434348246065,0.05181890510711529,0.033579295876311754,0.007288794848094082,0.03237660130927217,0.017626971961895332,0.3599043557825933,0.032111798952992376,0.007235696205787234,0.7386725227711326,0.3959659249641584,0.14697405246190343,0.3599043557825931,0.5692316503623798,0.4748219309065612,0.014653126852928966,0.03718372621283128,0.0007402844313939561
0.006091370558375636,0.018405052387429177,0.021971548497603632,0.023218028243660593,0.01704643385131066,0.016449543160043878,0.3025132141077997,0.03178368946547827,0.051143523134981606,0.046903434348246065,0.04561855876887222,0.0009065690009730232,0.03908067423752021,0.01567103012726856,0.32099768233229203,0.033228874481637305,0.008034607220731904,0.6598726024844916,0.2564464767933234,0.03793505270989058,0.3209976823322921,0.5694184827528519,0.4934501864899401,0.019177617521012935,0.03849414561278253,0.008281470222577914
0.0071065989847715755,0.015216604470480899,0.013587920441875068,0.0013949560209789436,0.0007245778891553645,0.0006992345497519592,0.44804011550479106,0.020631847279107718,0.043845321267913406,0.051143523134981606,0.04909975274636347,0.039091250895350316,0.04019424410216804,0.013578155957954752,0.2660387859722571,0.031179545425008948,0.008120503643360921,0.6015898502839181,0.23632221406972942,0.18283600973728537,0.26603878597225705,0.5564021570752824,0.5054478009340903,0.023352028150090798,0.03479550852138924,0.020154232963454755
0.008121827411167515,0.010118921655179802,0.014818014364244236,0.014332123399489194,0.015463849137902441,0.014922396479749911,0.2649647362102952,0.0043695267859192866,0.0328324040437723,0.043845321267913406,0.0586368763430255,0.033579295876311754,0.04334055661063735,0.011736865095960392,0.5892542310132252,0.032178796844597846,0.0088186194408294,0.7365880756481408,0.18002294476534325,0.055969781012293,0.5892542310132258,0.5560922637281632,0.5149767303384518,0.026124216415485457,0.03685511790967977,0.023516169172464685
0.009137055837563454,0.01443381117032927,0.022104035255569476,0.019434326671874058,0.013423602595213135,0.012953658280592362,0.287666023863187,0.01905503518881979,0.01677267270334626,0.0328324040437723,0.08365815863684872,0.04561855876887222,0.04503167301633787,0.009930819882032482,0.41237150996140953,0.03262595105379135,0.009404146947051717,0.711531756353685,0.15081814073600308,0.08043129494764426,0.4123715099614094,0.5533689600866685,0.5219920856041106,0.02892391720488019,0.03790268238681915,0.027945514959066275
